numero_arrete,titre,autorite_responsable,signataire,date_publication,date_signature,poids_pdf_ko,concerne_circulation,concerne_stationnement,est_temporaire,explnum_id,pdf_s3_url,date_scrape
2025 T 16709,"Arrêté n° 2025 T 16709 modifiant, à titre provisoire, les règles de stationnement gênant la circulation générale avenue Simon Bolivar, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,17/09/2025,15/09/2025,50,False,True,True,42964,s3://parisarretes/arretes/2025/2025_T_16709_df9c2271.pdf,2025-10-26T18:36:13.775299
2025 P 16426,"Arrêté n° 2025 P 16426 instituant une aire piétonne rue de Naples, à Paris 8e.",Direction de la Voirie et des Déplacements,François WOUTS,17/09/2025,15/09/2025,106,False,False,False,42971,s3://parisarretes/arretes/2025/2025_P_16426_7f452881.pdf,2025-10-26T18:36:13.774658
2025 T 16669,"Arrêté n° 2025 T 16669 modifiant, à titre provisoire, la règle de circulation générale rue Alice Domon et Léonie Duquet, à Paris 13e.",Direction de la Voirie et des Déplacements,Jérôme GUILLARD,17/09/2025,15/09/2025,50,True,False,True,42959,s3://parisarretes/arretes/2025/2025_T_16669_6dc840a2.pdf,2025-10-26T18:36:13.776327
2025 T 16626,"Arrêté n° 2025 T 16626 modifiant, à titre provisoire, les règles de circulation et de stationnement rue Paul Séjourné, à Paris 6e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,17/09/2025,11/09/2025,114,True,True,True,42958,s3://parisarretes/arretes/2025/2025_T_16626_c0f4fe5f.pdf,2025-10-26T18:36:39.442061
2025 T 16506,"Arrêté n° 2025 T 16506 modifiant, à titre provisoire, les règles de stationnement gênant la circulation générale rue de Crimée, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,17/09/2025,15/09/2025,50,False,True,True,42954,s3://parisarretes/arretes/2025/2025_T_16506_01844aef.pdf,2025-10-26T18:36:39.444211
2025 T 16587,"Arrêté n° 2025 T 16587 modifiant, à titre provisoire, les règles de stationnement gênant la circulation générale rue Fessart, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,17/09/2025,11/09/2025,50,False,True,True,42957,s3://parisarretes/arretes/2025/2025_T_16587_89e76230.pdf,2025-10-26T18:36:39.442716
2025 T 16469,"Arrêté n° 2025 T 16469 modifiant, à titre provisoire, les règles de stationnement et de circulation générale et des cycles rue Rébeval, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,17/09/2025,15/09/2025,52,True,True,True,42953,s3://parisarretes/arretes/2025/2025_T_16469_9c17316c.pdf,2025-10-26T18:36:39.444622
2025 T 16577,"Arrêté n° 2025 T 16577 modifiant, à titre provisoire, les règles de circulation générale rue des Solitaires, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,17/09/2025,15/09/2025,49,True,False,True,42956,s3://parisarretes/arretes/2025/2025_T_16577_3b32a7f9.pdf,2025-10-26T18:36:39.443210
2025 E 16575,"Arrêté n° 2025 E 16575 modifiant, à titre provisoire, les règles de stationnement gênant la circulation générale square Bolivar, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,17/09/2025,15/09/2025,104,False,True,True,42951,s3://parisarretes/arretes/2025/2025_E_16575_0eab8d1c.pdf,2025-10-26T18:36:39.445506
2025 T 16516,"Arrêté n° 2025 T 16516 modifiant, à titre provisoire, les règles de stationnement et de circulation générale rue Chana Orloff, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,17/09/2025,15/09/2025,52,True,True,True,42955,s3://parisarretes/arretes/2025/2025_T_16516_28b36bf0.pdf,2025-10-26T18:36:39.443681
2025 T 16695,"Arrêté n° 2025 T 16695 modifiant, à titre provisoire les règles de stationnement gênant la circulation générale rue de Belleville, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,16/09/2025,15/09/2025,51,False,True,True,42949,s3://parisarretes/arretes/2025/2025_T_16695_205442a7.pdf,2025-10-26T18:36:39.445975
2025 T 16437,"Arrêté n° 2025 T 16437 modifiant, à titre provisoire, les règles de stationnement et de circulation générale et des cycles rue de Tanger, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,17/09/2025,15/09/2025,52,True,True,True,42952,s3://parisarretes/arretes/2025/2025_T_16437_829dc44c.pdf,2025-10-26T18:36:39.445044
2025 T 16547,"Arrêté n° 2025 T 16547 modifiant, à titre provisoire, les règles de stationnement gênant la circulation générale rue de l'Equerre et avenue Simon Bolivar, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,16/09/2025,15/09/2025,50,False,True,True,42948,s3://parisarretes/arretes/2025/2025_T_16547_0f7659ed.pdf,2025-10-26T18:36:39.446458
2025 T 16676,"Arrêté n° 2025 T 16676 modifiant, à titre provisoire, les règles de stationnement rue Augereau, à Paris 7e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,16/09/2025,12/09/2025,50,False,True,True,42941,s3://parisarretes/arretes/2025/2025_T_16676_97523524.pdf,2025-10-26T18:37:05.560591
2025 T 16572,"Arrêté n° 2025 T 16572 modifiant, à titre provisoire, les règles de stationnement gênant la circulation générale rue de Romainville, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,16/09/2025,15/09/2025,51,False,True,True,42946,s3://parisarretes/arretes/2025/2025_T_16572_2ab53c48.pdf,2025-10-26T18:37:05.559355
2025 T 16691,"Arrêté n° 2025 T 16691 modifiant, à titre provisoire, les règles de circulation générale route de la Ferme et route de la Tourelle, à Paris 12e.",Direction de la Voirie et des Déplacements,Jérôme GUILLARD,16/09/2025,15/09/2025,51,True,False,True,42944,s3://parisarretes/arretes/2025/2025_T_16691_9dd53b47.pdf,2025-10-26T18:37:05.559801
2025 T 16650,"Arrêté n° 2025 T 16650 modifiant, à titre provisoire, les règles de stationnement rue de Grenelle, à Paris 7e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,16/09/2025,11/09/2025,49,False,True,True,42942,s3://parisarretes/arretes/2025/2025_T_16650_f891ccd6.pdf,2025-10-26T18:37:05.560329
2025 T 16699,"Arrêté n° 2025 T 16699 modifiant, à titre provisoire, les règles de stationnement rue Thibaut, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,16/09/2025,15/09/2025,49,False,True,True,42943,s3://parisarretes/arretes/2025/2025_T_16699_336f2da4.pdf,2025-10-26T18:37:05.560059
2025 T 16570,"Arrêté n° 2025 T 16570 modifiant, à titre provisoire, les règles de stationnement, rue de la Croix Nivert, à Paris 15e.",Direction de la Voirie et des Déplacements,Miéna GERMON,16/09/2025,09/09/2025,51,False,True,True,42940,s3://parisarretes/arretes/2025/2025_T_16570_4eb5e4a7.pdf,2025-10-26T18:37:05.560829
2025 T 16606,"Arrêté n° 2025 T 16606 modifiant, à titre provisoire, les règles de stationnement rue Littré, à Paris 6e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,16/09/2025,12/09/2025,50,False,True,True,42939,s3://parisarretes/arretes/2025/2025_T_16606_feff271d.pdf,2025-10-26T18:37:05.561064
2025 T 16603,"Arrêté n° 2025 T 16603 modifiant, à titre provisoire, les règles de stationnement rue Jean Ferrandi, à Paris 6e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,16/09/2025,12/09/2025,49,False,True,True,42938,s3://parisarretes/arretes/2025/2025_T_16603_c99af624.pdf,2025-10-26T18:37:05.561318
2025 T 16647,"Arrêté n° 2025 T 16647 modifiant, à titre provisoire, les règles de circulation générale et des cycles place de la Porte de Montreuil, à Paris 20e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,16/09/2025,15/09/2025,49,True,False,True,42937,s3://parisarretes/arretes/2025/2025_T_16647_33c38c87.pdf,2025-10-26T18:37:05.561552
2025 T 16559,"Arrêté n° 2025 T 16559 modifiant, à titre provisoire, les règles de stationnement rue Desnouettes, à Paris 15e.",Direction de la Voirie et des Déplacements,Miéna GERMON,16/09/2025,09/09/2025,105,False,True,True,42936,s3://parisarretes/arretes/2025/2025_T_16559_93afbb8b.pdf,2025-10-26T18:37:05.561787
2025 T 16692,"Arrêté n° 2025 T 16692 modifiant à titre temporaire, pendant le déroulement de l’événement « Festival de la Céramique », les règles de circulation Pont Louis Philippe, à Paris 4e.",Direction de la Voirie et des Déplacements,Francis PACAUD,12/09/2025,12/09/2025,148,True,False,True,42929,s3://parisarretes/arretes/2025/2025_T_16692_18b7823e.pdf,2025-10-26T18:37:33.027044
2025 T 16620,"Arrêté n° 2025 T 16620 modifiant, à titre provisoire, les règles de stationnement et de circulation boulevards de Belleville et de Ménilmontant, à Paris 20e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,16/09/2025,15/09/2025,110,True,True,True,42935,s3://parisarretes/arretes/2025/2025_T_16620_e6e37461.pdf,2025-10-26T18:37:33.024773
2025 T 16598,"Arrêté n° 2025 T 16598 modifiant, à titre provisoire, les règles de stationnement rue Maryse Hilsz, à Paris 20e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,16/09/2025,15/09/2025,107,False,True,True,42933,s3://parisarretes/arretes/2025/2025_T_16598_a09a91d2.pdf,2025-10-26T18:37:33.025320
2025 T 16561,"Arrêté n° 2025 T 16561 modifiant, à titre provisoire, les règles de stationnement et de circulation rue Desnouettes, à Paris 15e.",Direction de la Voirie et des Déplacements,Miéna GERMON,16/09/2025,09/09/2025,108,True,True,True,42930,s3://parisarretes/arretes/2025/2025_T_16561_c3dccaca.pdf,2025-10-26T18:37:33.026612
2025 T 16653,"Arrêté n° 2025 T 16653 modifiant à titre temporaire, pendant l'événement sportif ""La Fête du Sport"" du 14 septembre 2025, les règles de circulation rue de la Verrerie et dans les voies souterraines des Halles à Paris Centre.",Direction de la Voirie et des Déplacements,François WOUTS,12/09/2025,12/09/2025,202,True,False,True,42928,s3://parisarretes/arretes/2025/2025_T_16653_73256351.pdf,2025-10-26T18:37:33.027520
2025 T 16628,"Arrêté n° 2025 T 16628 modifiant, à titre provisoire, la règle du stationnement avenue du Cimetière, à Saint Ouen 93400.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,16/09/2025,11/09/2025,103,False,True,True,42927,s3://parisarretes/arretes/2025/2025_T_16628_8ee74327.pdf,2025-10-26T18:37:33.028002
2025 T 16585,"Arrêté n° 2025 T 16585 modifiant, à titre provisoire, les règles de stationnement rue Jean Ferrandi, à Paris 6e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,16/09/2025,12/09/2025,50,False,True,True,42931,s3://parisarretes/arretes/2025/2025_T_16585_67690260.pdf,2025-10-26T18:37:33.025926
2025 T 16639,"Arrêté n° 2025 T 16639 modifiant, à titre provisoire, la règle de stationnement rue Cardinet, à Paris 17e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,16/09/2025,11/09/2025,103,False,True,True,42926,s3://parisarretes/arretes/2025/2025_T_16639_6029a99e.pdf,2025-10-26T18:37:33.028493
2025 T 16624,"Arrêté n° 2025 T 16624 modifiant, à titre provisoire, les règles de circulation rues Cujas, Toullier et Victor Cousin, à Paris 5e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,16/09/2025,11/09/2025,59,True,False,True,42925,s3://parisarretes/arretes/2025/2025_T_16624_f0f8ef99.pdf,2025-10-26T18:37:33.028970
2025 T 16661,"Arrêté n° 2025 T 16661 modifiant, à titre provisoire, les règles de stationnement rue Guynemer, à Paris 6e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,16/09/2025,12/09/2025,49,False,True,True,42924,s3://parisarretes/arretes/2025/2025_T_16661_e523024d.pdf,2025-10-26T18:37:33.029419
2025 T 16679,"Arrêté n° 2025 T 16679 modifiant, à titre provisoire, les règles de stationnement gênant la circulation générale avenue Moderne, à Paris 19e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,16/09/2025,12/09/2025,50,False,True,True,42922,s3://parisarretes/arretes/2025/2025_T_16679_ab854f04.pdf,2025-10-26T18:38:00.502393
2025 T 16616,"Arrêté n° 2025 T 16616 modifiant, à titre provisoire, la règle du stationnement rue Lamarck, à Paris 18e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,16/09/2025,10/09/2025,104,False,True,True,42921,s3://parisarretes/arretes/2025/2025_T_16616_66fd8c2d.pdf,2025-10-26T18:38:00.502821
2025 T 16595,"Arrêté n° 2025 T 16595 modifiant, à titre provisoire, les règles de la circulation générale et du stationnement rue de l’Etoile, rue de Montenotte et rue Brey, à Paris 17e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,16/09/2025,11/09/2025,149,True,True,True,42919,s3://parisarretes/arretes/2025/2025_T_16595_3beeb1d8.pdf,2025-10-26T18:38:00.503799
2025 T 16601,"Arrêté n° 2025 T 16601 modifiant, à titre provisoire, la règle de stationnement place du Général Catroux, à Paris 17e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,16/09/2025,10/09/2025,104,False,True,True,42920,s3://parisarretes/arretes/2025/2025_T_16601_93263ed5.pdf,2025-10-26T18:38:00.503306
2025 T 16591,"Arrêté n° 2025 T 16591 modifiant, à titre provisoire, la règle du stationnement rue Vernier, à Paris 17e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,16/09/2025,10/09/2025,106,False,True,True,42918,s3://parisarretes/arretes/2025/2025_T_16591_68b86a0a.pdf,2025-10-26T18:38:00.504285
2025 T 16508,"Arrêté n° 2025 T 16508 modifiant, à titre provisoire, la règle du stationnement rue de Miromesnil, à Paris 8e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,16/09/2025,10/09/2025,103,False,True,True,42916,s3://parisarretes/arretes/2025/2025_T_16508_ba5e657b.pdf,2025-10-26T18:38:00.504747
2025 T 16617,"Arrêté n° 2025 T 16617 modifiant, à titre provisoire, la règle du stationnement rue Félix Ziem, à Paris 18e.",Direction de la Voirie et des Déplacements,Frédéric GAUTHERON,16/09/2025,11/09/2025,104,False,True,True,42923,s3://parisarretes/arretes/2025/2025_T_16617_73e7c2c6.pdf,2025-10-26T18:38:00.501699
2025 T 16477,"Arrêté n° 2025 T 16477 modifiant, à titre provisoire, la règle du stationnement et de la circulation générale dans plusieurs voies, à Paris 2e.",Direction de la Voirie et des Déplacements,Lowell LACOU,16/09/2025,12/09/2025,136,True,True,True,42915,s3://parisarretes/arretes/2025/2025_T_16477_bd4b8411.pdf,2025-10-26T18:38:00.505228
2025 T 16416,"Arrêté n° 2025 T 16416 modifiant, à titre provisoire, la règle de la circulation générale rue du Vertbois, à Paris 3e.",Direction de la Voirie et des Déplacements,Lowell LACOU,16/09/2025,12/09/2025,124,True,False,True,42913,s3://parisarretes/arretes/2025/2025_T_16416_8332d894.pdf,2025-10-26T18:38:00.505703
2025 E 16496,"Arrêté n° 2025 E 16496 modifiant, à titre provisoire, les règles de stationnement rues Dombasle et Sébastien Mercier, à Paris 15e.",Direction de la Voirie et des Déplacements,Miéna GERMON,16/09/2025,09/09/2025,105,False,True,True,42912,s3://parisarretes/arretes/2025/2025_E_16496_ad8109df.pdf,2025-10-26T18:38:00.506161
2025 T 16671,"Arrêté n° 2025 T 16671 modifiant, à titre provisoire, la règle de stationnement rue Broca, à Paris 13e.",Direction de la Voirie et des Déplacements,Jérôme GUILLARD,16/09/2025,12/09/2025,50,False,True,True,42904,s3://parisarretes/arretes/2025/2025_T_16671_d4ef4f6c.pdf,2025-10-26T18:38:26.766756
2025 T 16652,"Arrêté n° 2025 T 16652 modifiant, à titre provisoire, les règles de stationnement avenue de la Bourdonnais, à Paris 7e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,16/09/2025,11/09/2025,49,False,True,True,42903,s3://parisarretes/arretes/2025/2025_T_16652_2183c6e3.pdf,2025-10-26T18:38:26.767210
2025 T 16677,"Arrêté n° 2025 T 16677 modifiant, à titre provisoire, les règles de stationnement allée Vivaldi, à Paris 12e.",Direction de la Voirie et des Déplacements,Jérôme GUILLARD,16/09/2025,12/09/2025,50,False,True,True,42906,s3://parisarretes/arretes/2025/2025_T_16677_0b31e4ac.pdf,2025-10-26T18:38:26.765747
2025 T 16646,"Arrêté n° 2025 T 16646 modifiant, à titre provisoire, les règles de stationnement boulevard Edgar Quinet, avenue de la porte de Montrouge et rue Paturle, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,16/09/2025,11/09/2025,50,False,True,True,42902,s3://parisarretes/arretes/2025/2025_T_16646_b758d232.pdf,2025-10-26T18:38:26.767686
2025 T 16625,"Arrêté n° 2025 T 16625 modifiant, à titre provisoire, les règles de stationnement rue de Domrémy, à Paris 13e.",Direction de la Voirie et des Déplacements,Jérôme GUILLARD,16/09/2025,12/09/2025,50,False,True,True,42899,s3://parisarretes/arretes/2025/2025_T_16625_e138a8c3.pdf,2025-10-26T18:38:26.769046
2025 T 16629,"Arrêté n° 2025 T 16629 modifiant, à titre provisoire, les règles de stationnement avenue de Saint-Mandé, à Paris 12e.",Direction de la Voirie et des Déplacements,Jérôme GUILLARD,16/09/2025,12/09/2025,51,False,True,True,42900,s3://parisarretes/arretes/2025/2025_T_16629_3f3129a9.pdf,2025-10-26T18:38:26.768588
2025 T 16674,"Arrêté n° 2025 T 16674 modifiant, à titre provisoire, les règles de stationnement rue de la Bidassoa, à Paris 20e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,16/09/2025,12/09/2025,50,False,True,True,42905,s3://parisarretes/arretes/2025/2025_T_16674_c1bf99af.pdf,2025-10-26T18:38:26.766293
2025 T 16630,"Arrêté n° 2025 T 16630 modifiant, à titre provisoire, les règles de stationnement rue François Ponsard, à Paris 16e.",Direction de la Voirie et des Déplacements,Miéna GERMON,16/09/2025,11/09/2025,51,False,True,True,42901,s3://parisarretes/arretes/2025/2025_T_16630_e7f7d7bc.pdf,2025-10-26T18:38:26.768134
2025 T 16622,"Arrêté n° 2025 T 16622 modifiant, à titre provisoire, les règles de stationnement, quai Louis Blériot, à Paris 16e.",Direction de la Voirie et des Déplacements,Miéna GERMON,16/09/2025,11/09/2025,51,False,True,True,42898,s3://parisarretes/arretes/2025/2025_T_16622_2333c6e3.pdf,2025-10-26T18:38:26.769569
2025 T 16590,"Arrêté n° 2025 T 16590 modifiant, à titre provisoire, les règles de stationnement rue Nationale, à Paris 13e.",Direction de la Voirie et des Déplacements,Jérôme GUILLARD,16/09/2025,12/09/2025,50,False,True,True,42895,s3://parisarretes/arretes/2025/2025_T_16590_1956873c.pdf,2025-10-26T18:38:26.770108
2025 T 15230,"Arrêté n° 2025 T 15230 suspendant, pendant l’événement « La Fête du Sport » du 14 septembre 2025, l’arrêté n° 2023 P 15620 du 12 mai 2023 instaurant une aire piétonne les dimanches dans le secteur ""Marais"", dans le cadre de l'opération ""Paris Respire"" à Paris 3e et 4e arrondissements.",Direction de la Voirie et des Déplacements,Préfecture de Police,12/09/2025,12/09/2025,148,False,False,False,42890,s3://parisarretes/arretes/2025/2025_T_15230_bb104672.pdf,2025-10-26T18:38:54.113635
2025 T 16461,"Arrêté n° 2025 T 16461 modifiant, à titre provisoire, la règle du stationnement rue Alibert, à Paris 10e.",Direction de la Voirie et des Déplacements,Lalia OUTMEZAB,15/09/2025,11/09/2025,99,False,True,True,42888,s3://parisarretes/arretes/2025/2025_T_16461_4ff91d6a.pdf,2025-10-26T18:38:54.114407
2025 T 16672,"Arrêté n° 2025 T 16672 portant modification de l’arrêté n° 2025 T 16638 Interdisant, à titre provisoire, la circulation sur des tronçons du boulevard périphérique, des voies sur berges et des tunnels parisiens pour des travaux d’entretien du mois de septembre 2025.",Direction de la Voirie et des Déplacements,Alexandre TELLA,15/09/2025,12/09/2025,173,True,False,True,42889,s3://parisarretes/arretes/2025/2025_T_16672_af4dd68a.pdf,2025-10-26T18:38:54.114081
2025 T 16592,"Arrêté n° 2025 T 16592 modifiant, à titre provisoire, les règles stationnement et de circulation générale rue Leroy Dupré, boulevard de Picpus, rue Sibuet, à Paris 12e.",Direction de la Voirie et des Déplacements,Jérôme GUILLARD,15/09/2025,12/09/2025,52,True,True,True,42886,s3://parisarretes/arretes/2025/2025_T_16592_51b73a1e.pdf,2025-10-26T18:38:54.114951
2025 T 16458,"Arrêté n° 2025 T 16458 modifiant, à titre provisoire, la règle du stationnement rue Poissonnière, à Paris 2e.",Direction de la Voirie et des Déplacements,Lalia OUTMEZAB,15/09/2025,11/09/2025,121,False,True,True,42885,s3://parisarretes/arretes/2025/2025_T_16458_81f01d1f.pdf,2025-10-26T18:38:54.115212
2025 T 16457,"Arrêté n° 2025 T 16457 modifiant, à titre provisoire, la règle du stationnement rue Beaurepaire, à Paris 10e.",Direction de la Voirie et des Déplacements,Lalia OUTMEZAB,15/09/2025,11/09/2025,121,False,True,True,42887,s3://parisarretes/arretes/2025/2025_T_16457_8cb035db.pdf,2025-10-26T18:38:54.114680
2025 T 16454,"Arrêté n° 2025 T 16454 modifiant, à titre provisoire, la règle du stationnement rue de la Michodière, à Paris 2e.",Direction de la Voirie et des Déplacements,Lalia OUTMEZAB,15/09/2025,11/09/2025,122,False,True,True,42884,s3://parisarretes/arretes/2025/2025_T_16454_a7286cd7.pdf,2025-10-26T18:38:54.115463
2025 T 16607,"Arrêté n° 2025 T 16607 modifiant, à titre provisoire, les règles de stationnement rue du Château des rentiers, à Paris 13e.",Direction de la Voirie et des Déplacements,Jérôme GUILLARD,15/09/2025,12/09/2025,50,False,True,True,42883,s3://parisarretes/arretes/2025/2025_T_16607_02e03481.pdf,2025-10-26T18:38:54.115717
2025 T 16448,"Arrêté n° 2025 T 16448 modifiant, à titre provisoire, la règle du stationnement rue Volta, à Paris 3e.",Direction de la Voirie et des Déplacements,Lalia OUTMEZAB,15/09/2025,11/09/2025,122,False,True,True,42882,s3://parisarretes/arretes/2025/2025_T_16448_fbdd79d0.pdf,2025-10-26T18:38:54.116065
2025 T 16390,"Arrêté n° 2025 T 16390 modifiant, à titre provisoire, la règle du stationnement rue Jean-Jacques Rousseau et boulevard Morland, à Paris 1er et 4e.",Direction de la Voirie et des Déplacements,Lalia OUTMEZAB,15/09/2025,11/09/2025,122,False,True,True,42880,s3://parisarretes/arretes/2025/2025_T_16390_cd22e1ab.pdf,2025-10-26T18:38:54.116592
2025 T 16576,"Arrêté n° 2025 T 16576 modifiant, à titre provisoire les règles du stationnement rue Jean de la Fontaine, à Paris 16e.",Direction de la Voirie et des Déplacements,Miéna GERMON,15/09/2025,09/09/2025,105,False,True,True,42874,s3://parisarretes/arretes/2025/2025_T_16576_74cdd0ae.pdf,2025-10-26T18:39:19.880344
2025 C 16566,"Arrêté n° 2025 C 16566 modifiant, à titre provisoire, la règle du stationnement et de la circulation générale Quai de Jemmapes et rue de la Fayette, à Paris 10e.",Direction de la Voirie et des Déplacements,Lalia OUTMEZAB,15/09/2025,11/09/2025,141,True,True,True,42879,s3://parisarretes/arretes/2025/2025_C_16566_60b8e528.pdf,2025-10-26T18:39:19.879387
2025 T 16627,"Arrêté n° 2025 T 16627 modifiant, à titre provisoire, les règles de stationnement rue Marsoulan, à Paris 12e.",Direction de la Voirie et des Déplacements,Jérôme GUILLARD,15/09/2025,12/09/2025,50,False,True,True,42876,s3://parisarretes/arretes/2025/2025_T_16627_6a3179c1.pdf,2025-10-26T18:39:19.880058
2025 T 16643,"Arrêté n° 2025 T 16643 prorogeant l'arrêté municipal n° 2025 T 14806 du 27 juin 2025, modifiant, à titre provisoire, la règle de stationnement et de circulation générale rue Henri Michaux, à Paris 13e.",Direction de la Voirie et des Déplacements,Jérôme GUILLARD,15/09/2025,12/09/2025,48,True,True,True,42873,s3://parisarretes/arretes/2025/2025_T_16643_1bb9a4b7.pdf,2025-10-26T18:39:19.880601
2025 T 16609,"Arrêté n° 2025 T 16609 modifiant, à titre provisoire, les règles de stationnement rue de la Chine, à Paris 20e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,15/09/2025,11/09/2025,52,False,True,True,42877,s3://parisarretes/arretes/2025/2025_T_16609_1c477de8.pdf,2025-10-26T18:39:19.879790
2025 T 16571,"Arrêté n° 2025 T 16571 modifiant, à titre provisoire, la règle de la circulation générale rue du Pont Neuf, à Paris 1er.",Direction de la Voirie et des Déplacements,Lalia OUTMEZAB,15/09/2025,11/09/2025,110,True,False,True,42872,s3://parisarretes/arretes/2025/2025_T_16571_034cbbf0.pdf,2025-10-26T18:39:19.880869
2025 T 16392,"Arrêté n° 2025 T 16392 modifiant, à titre provisoire, la règle de la circulation générale place de l’École et rue des Prêtres Saint Germain l’Auxerrois, à Paris 1er.",Direction de la Voirie et des Déplacements,Lalia OUTMEZAB,15/09/2025,11/09/2025,140,True,False,True,42871,s3://parisarretes/arretes/2025/2025_T_16392_42871381.pdf,2025-10-26T18:39:19.881115
2025 T 16662,"Arrêté n° 2025 T 16662 modifiant, à titre provisoire, les règles de circulation rue des Pyrénées, à Paris 20e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,15/09/2025,12/09/2025,49,True,False,True,42870,s3://parisarretes/arretes/2025/2025_T_16662_42937216.pdf,2025-10-26T18:39:19.881369
2025 T 16638,"Arrêté n° 2025 T 16638 portant modification de l’arrêté n° 2025 T 16342 Interdisant, à titre provisoire, la circulation sur des tronçons du boulevard périphérique, des voies sur berges et des tunnels parisiens pour des travaux d’entretien du mois de septembre 2025.",Direction de la Voirie et des Déplacements,Alexandre TELLA,15/09/2025,11/09/2025,171,True,False,True,42869,s3://parisarretes/arretes/2025/2025_T_16638_863356d4.pdf,2025-10-26T18:39:19.881616
2025 T 16618,"Arrêté n° 2025 T 16618 modifiant, à titre provisoire, les règles de stationnement rue des plantes, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,15/09/2025,10/09/2025,49,False,True,True,42865,s3://parisarretes/arretes/2025/2025_T_16618_07a6dd9c.pdf,2025-10-26T18:39:44.810373
2025 T 16615,"Arrêté n° 2025 T 16615 modifiant, à titre provisoire, les règles de stationnement avenue René Coty, à Paris 14e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,15/09/2025,10/09/2025,49,False,True,True,42864,s3://parisarretes/arretes/2025/2025_T_16615_ea357d44.pdf,2025-10-26T18:39:44.810842
2025 T 16352,"Arrêté n° 2025 T 16352 modifiant, à titre provisoire, les règles de stationnement rue de l'Abbé Groult, à Paris 15e.",Direction de la Voirie et des Déplacements,Miéna GERMON,15/09/2025,11/09/2025,108,False,True,True,42867,s3://parisarretes/arretes/2025/2025_T_16352_8f3fcfbf.pdf,2025-10-26T18:39:44.809405
2025 T 16642,"Arrêté n° 2025 T 16642 modifiant, à titre provisoire, les règles de stationnement rue Thenard, à Paris 5e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,15/09/2025,11/09/2025,49,False,True,True,42866,s3://parisarretes/arretes/2025/2025_T_16642_10781434.pdf,2025-10-26T18:39:44.809900
2025 E 16640,"Arrêté n° 2025 E 16640 modifiant, à titre provisoire, les règles de stationnement et la circulation rue Paul Bert et autres voies, à Paris 11e.",Direction de la Voirie et des Déplacements,Tanguy ADAM,15/09/2025,11/09/2025,106,True,True,True,42858,s3://parisarretes/arretes/2025/2025_E_16640_0ab6be0b.pdf,2025-10-26T18:39:44.812026
2025 T 16375,"Arrêté n° 2025 T 16375 modifiant, à titre provisoire, les règles de stationnement rue Olivier de Serres, à Paris 15e.",Direction de la Voirie et des Déplacements,Miéna GERMON,15/09/2025,11/09/2025,104,False,True,True,42868,s3://parisarretes/arretes/2025/2025_T_16375_b5af4eff.pdf,2025-10-26T18:39:44.808847
2025 T 16612,"Arrêté n° 2025 T 16612 modifiant, à titre provisoire, les règles de stationnement rue Cognacq Jay, à Paris 7e.",Direction de la Voirie et des Déplacements,Adrien RONDEAUX,15/09/2025,10/09/2025,49,False,True,True,42863,s3://parisarretes/arretes/2025/2025_T_16612_d6aa802b.pdf,2025-10-26T18:39:44.811601
